type,mass_kg,freq_Hz,beta,Fc_N,target_mer_kg_m,achieved_mer_kg_m,abs_error_kg_m,rel_error_percent,hardware_config
beta_hop_boundary,50,30,0.5,65.24234846969395,0.001836231102932016,0.0018355105494143509,-7.205535176651404e-07,0.03924089492409703,"Hole 1 @ 100 mm: empty (net -0.06 g) | Hole 2 @ 225 mm: M5x16, 1 nut, 4 washer (net 8.24 g) | Hole 3 @ 245 mm: empty (net -0.06 g)"
beta_hop_boundary,50,30,0.75,97.86352270454091,0.0027543466543980236,0.0027540105494143516,-3.3610498367201563e-07,0.012202711780499288,"Hole 1 @ 100 mm: M5x10, 1 nut, 1 washer (net 5.24 g) | Hole 2 @ 225 mm: M5x10, 1 nut, 0 washer (net 4.74 g) | Hole 3 @ 245 mm: M5x10, 1 nut, 0 washer (net 4.74 g)"
beta_hop_boundary,50,30,0.95,123.96046209241848,0.0034888390955708296,0.0034890105494143507,1.7145384352112297e-07,0.004914352276629438,"Hole 1 @ 100 mm: M5x12, 1 nut, 2 washer (net 6.24 g) | Hole 2 @ 225 mm: empty (net -0.06 g) | Hole 3 @ 245 mm: M5x35, 1 nut, 2 washer (net 11.74 g)"
beta_hop_boundary,50,50,0.5,114.6986897379476,0.0011621407006474113,0.001160510549414351,-1.6301512330602237e-06,0.1402714174068674,"Hole 1 @ 100 mm: empty (net -0.06 g) | Hole 2 @ 225 mm: M5x10, 1 nut, 1 washer (net 5.24 g) | Hole 3 @ 245 mm: empty (net -0.06 g)"
beta_hop_boundary,50,50,0.75,172.0480346069214,0.0017432110509711166,0.0017415105494143512,-1.7005015567653995e-06,0.09754995276206377,"Hole 1 @ 100 mm: M5x20, 1 nut, 0 washer (net 7.14 g) | Hole 2 @ 225 mm: empty (net -0.06 g) | Hole 3 @ 245 mm: M5x8, 1 nut, 0 washer (net 4.24 g)"
beta_hop_boundary,50,50,0.95,217.92751050210043,0.0022080673312300813,0.0022080105494143515,-5.6781815729791546e-08,0.0025715617873916575,"Hole 1 @ 100 mm: M5x30, 1 nut, 4 washer (net 11.54 g) | Hole 2 @ 225 mm: M5x10, 1 nut, 0 washer (net 4.74 g) | Hole 3 @ 245 mm: empty (net -0.06 g)"
beta_hop_boundary,50,75,0.5,173.43543708741748,0.0007810081676099266,0.0007880105494143507,7.002381804424107e-06,0.89658240397832,"Hole 1 @ 100 mm: M5x20, 1 nut, 2 washer (net 8.14 g) | Hole 2 @ 225 mm: empty (net -0.06 g) | Hole 3 @ 245 mm: empty (net -0.06 g)"
beta_hop_boundary,50,75,0.75,260.1531556311262,0.0011715122514148898,0.0011780105494143508,6.498297999461009e-06,0.5546931320276602,"Hole 1 @ 100 mm: M5x30, 1 nut, 5 washer (net 12.04 g) | Hole 2 @ 225 mm: empty (net -0.06 g) | Hole 3 @ 245 mm: empty (net -0.06 g)"
beta_hop_boundary,50,75,0.95,329.5273304660932,0.0014839155184588604,0.0014780105494143511,-5.904969044509285e-06,0.397931618818972,"Hole 1 @ 100 mm: M5x8, 1 nut, 0 washer (net 4.24 g) | Hole 2 @ 225 mm: M5x10, 1 nut, 0 washer (net 4.74 g) | Hole 3 @ 245 mm: empty (net -0.06 g)"
beta_hop_boundary,75,30,0.5,104.91193238647732,0.002952722546556332,0.0029530105494143507,2.880028580187072e-07,0.00975380698584755,"Hole 1 @ 100 mm: M5x20, 1 nut, 3 washer (net 8.64 g) | Hole 2 @ 225 mm: M5x25, 1 nut, 2 washer (net 9.34 g) | Hole 3 @ 245 mm: empty (net -0.06 g)"
beta_hop_boundary,75,30,0.75,157.36789857971596,0.0044290838198344975,0.004429010549414351,-7.327042014608487e-08,0.0016543019533286406,"Hole 1 @ 100 mm: M5x8, 1 nut, 0 washer (net 4.24 g) | Hole 2 @ 225 mm: M5x30, 1 nut, 4 washer (net 11.54 g) | Hole 3 @ 245 mm: M5x12, 1 nut, 1 washer (net 5.74 g)"
beta_hop_boundary,75,30,0.95,199.33267153430688,0.0056101728384570304,0.005610010549414351,-1.6228904267927974e-07,0.0028927636875428994,"Hole 1 @ 100 mm: M5x10, 1 nut, 0 washer (net 4.74 g) | Hole 2 @ 225 mm: M5x25, 1 nut, 6 washer (net 11.34 g) | Hole 3 @ 245 mm: M5x30, 1 nut, 2 washer (net 10.54 g)"
beta_hop_boundary,75,50,0.5,187.20211542308465,0.0018967539915016472,0.0018965105494143514,-2.434420872958389e-07,0.012834668511919538,"Hole 1 @ 100 mm: M5x12, 1 nut, 2 washer (net 6.24 g) | Hole 2 @ 225 mm: empty (net -0.06 g) | Hole 3 @ 245 mm: M5x10, 1 nut, 1 washer (net 5.24 g)"
beta_hop_boundary,75,50,0.75,280.80317313462695,0.0028451309872524703,0.0028455105494143507,3.7956216188041875e-07,0.013340762291122495,"Hole 1 @ 100 mm: M5x20, 1 nut, 4 washer (net 9.14 g) | Hole 2 @ 225 mm: M5x20, 1 nut, 3 washer (net 8.64 g) | Hole 3 @ 245 mm: empty (net -0.06 g)"
beta_hop_boundary,75,50,0.95,355.6840193038608,0.003603832583853129,0.00360401054941435,1.779655612208983e-07,0.004938230538740007,"Hole 1 @ 100 mm: M5x25, 1 nut, 3 washer (net 9.84 g) | Hole 2 @ 225 mm: empty (net -0.06 g) | Hole 3 @ 245 mm: M5x35, 1 nut, 0 washer (net 10.74 g)"
beta_hop_boundary,75,75,0.5,296.2762552510502,0.0013341804829847023,0.0013480105494143508,1.3830066429648506e-05,1.0365963680347947,"Hole 1 @ 100 mm: M5x35, 1 nut, 6 washer (net 13.74 g) | Hole 2 @ 225 mm: empty (net -0.06 g) | Hole 3 @ 245 mm: empty (net -0.06 g)"
beta_hop_boundary,75,75,0.75,444.41438287657536,0.0020012707244770537,0.0020015105494143506,2.3982493729682655e-07,0.011983632917005495,"Hole 1 @ 100 mm: empty (net -0.06 g) | Hole 2 @ 225 mm: empty (net -0.06 g) | Hole 3 @ 245 mm: M5x16, 1 nut, 4 washer (net 8.24 g)"
beta_hop_boundary,75,75,0.95,562.9248849769954,0.0025349429176709346,0.002534510549414351,-4.3236825658351033e-07,0.017056331074340857,"Hole 1 @ 100 mm: M5x16, 1 nut, 1 washer (net 6.74 g) | Hole 2 @ 225 mm: empty (net -0.06 g) | Hole 3 @ 245 mm: M5x20, 1 nut, 1 washer (net 7.64 g)"
beta_hop_boundary,100,30,0.5,147.87077415483097,0.004161789406521191,0.00416201054941435,2.211428931590126e-07,0.005313649287791915,"Hole 1 @ 100 mm: empty (net -0.06 g) | Hole 2 @ 225 mm: M5x35, 1 nut, 0 washer (net 10.74 g) | Hole 3 @ 245 mm: M5x20, 1 nut, 0 washer (net 7.14 g)"
beta_hop_boundary,100,30,0.75,221.80616123224644,0.006242684109781786,0.0062425105494143505,-1.7356036743562675e-07,0.0027802202447449096,"Hole 1 @ 100 mm: M5x20, 1 nut, 0 washer (net 7.14 g) | Hole 2 @ 225 mm: M5x30, 1 nut, 6 washer (net 12.54 g) | Hole 3 @ 245 mm: M5x30, 1 nut, 3 washer (net 11.04 g)"
beta_hop_boundary,100,30,0.95,280.9544708941788,0.007907399872390261,0.00783401054941435,-7.338932297591173e-05,0.9281094185227727,"Hole 1 @ 100 mm: M5x35, 1 nut, 6 washer (net 13.74 g) | Hole 2 @ 225 mm: M5x35, 1 nut, 6 washer (net 13.74 g) | Hole 3 @ 245 mm: M5x35, 1 nut, 6 washer (net 13.74 g)"
beta_hop_boundary,100,50,0.5,276.621724344869,0.002802764053180661,0.0028030105494143507,2.4649623368974347e-07,0.008794755070802771,"Hole 1 @ 100 mm: empty (net -0.06 g) | Hole 2 @ 225 mm: M5x30, 1 nut, 6 washer (net 12.54 g) | Hole 3 @ 245 mm: empty (net -0.06 g)"
beta_hop_boundary,100,50,0.75,414.93258651730343,0.004204146079770991,0.004204010549414352,-1.355303566388799e-07,0.0032237309091377375,"Hole 1 @ 100 mm: M5x12, 1 nut, 1 washer (net 5.74 g) | Hole 2 @ 225 mm: M5x16, 1 nut, 4 washer (net 8.24 g) | Hole 3 @ 245 mm: M5x16, 1 nut, 2 washer (net 7.24 g)"
beta_hop_boundary,100,50,0.95,525.581276255251,0.005325251701043255,0.005325010549414351,-2.411516289045276e-07,0.004528455037294937,"Hole 1 @ 100 mm: M5x8, 1 nut, 0 washer (net 4.24 g) | Hole 2 @ 225 mm: M5x25, 1 nut, 5 washer (net 10.84 g) | Hole 3 @ 245 mm: M5x30, 1 nut, 1 washer (net 10.04 g)"
beta_hop_boundary,100,75,0.5,455.65133026605326,0.0020518725382561017,0.0020530105494143513,1.1380111582495918e-06,0.05546207851764486,"Hole 1 @ 100 mm: M5x16, 1 nut, 3 washer (net 7.74 g) | Hole 2 @ 225 mm: M5x12, 1 nut, 1 washer (net 5.74 g) | Hole 3 @ 245 mm: empty (net -0.06 g)"
beta_hop_boundary,100,75,0.75,683.4769953990799,0.0030778088073841526,0.0030780105494143508,2.0174203019815776e-07,0.006554729121384881,"Hole 1 @ 100 mm: M5x16, 1 nut, 1 washer (net 6.74 g) | Hole 2 @ 225 mm: M5x35, 1 nut, 0 washer (net 10.74 g) | Hole 3 @ 245 mm: empty (net -0.06 g)"
beta_hop_boundary,100,75,0.95,865.7375275055011,0.003898557822686593,0.0038985105494143512,-4.727327224162206e-08,0.0012125835858205864,"Hole 1 @ 100 mm: M5x16, 1 nut, 1 washer (net 6.74 g) | Hole 2 @ 225 mm: M5x10, 1 nut, 1 washer (net 5.24 g) | Hole 3 @ 245 mm: M5x25, 1 nut, 0 washer (net 8.34 g)"
constant_Fc,all,30,,100.0,0.0028144773233982723,0.002814510549414351,3.322601607866002e-08,0.001180539484274191,"Hole 1 @ 100 mm: M5x30, 1 nut, 0 washer (net 9.54 g) | Hole 2 @ 225 mm: empty (net -0.06 g) | Hole 3 @ 245 mm: M5x20, 1 nut, 1 washer (net 7.64 g)"
constant_Fc,all,50,,100.0,0.0010132118364233778,0.001008010549414351,-5.2012870090268216e-06,0.5133464515562002,"Hole 1 @ 100 mm: M5x25, 1 nut, 4 washer (net 10.34 g) | Hole 2 @ 225 mm: empty (net -0.06 g) | Hole 3 @ 245 mm: empty (net -0.06 g)"
constant_Fc,all,75,,100.0,0.0004503163717437235,0.0004480105494143509,-2.305822329372591e-06,0.5120449697273813,"Hole 1 @ 100 mm: M5x10, 1 nut, 0 washer (net 4.74 g) | Hole 2 @ 225 mm: empty (net -0.06 g) | Hole 3 @ 245 mm: empty (net -0.06 g)"
